26.06.2004;Имя1;Фамилия1;Отчество1;Город1;Страна1
27.06.2004;Имя2;Фамилия2;Отчество2;Город2;Страна2
28.06.2004;Имя3;Фамилия3;Отчество3;Город3;Страна3
29.06.2004;Имя4;Фамилия4;Отчество4;Город4;Страна4
30.06.2004;Имя5;Фамилия5;Отчество5;Город5;Страна5
01.07.2004;Имя6;Фамилия6;Отчество6;Город6;Страна6
02.07.2004;Имя7;Фамилия7;Отчество7;Город7;Страна7
03.07.2004;Имя8;Фамилия8;Отчество8;Город8;Страна8
04.07.2004;Имя9;Фамилия9;Отчество9;Город9;Страна9
05.07.2004;Имя10;Фамилия10;Отчество10;Город10;Страна10
